Date,cormorant: (åŠ æ‹¿å¤?,cuckoo,mallard,American Robin,Canada Goose
2023/1/1,11,53,62,0,28
2023/1/8,14,62,94,8,33
2023/1/15,14,39,88,0,39
2023/1/22,11,47,68,0,32
2023/1/29,13,42,49,4,37
2023/2/5,17,44,47,0,38
2023/2/12,9,43,34,0,43
2023/2/19,11,50,49,0,45
2023/2/26,12,43,37,0,43
2023/3/5,14,31,37,0,41
2023/3/12,16,42,42,6,40
2023/3/19,8,50,44,5,51
2023/3/26,14,47,41,6,68
2023/4/2,17,49,35,5,80
2023/4/9,15,45,55,8,100
2023/4/16,14,43,56,11,94
2023/4/23,21,34,55,0,92
2023/4/30,26,39,56,9,89
2023/5/7,25,37,58,13,98
2023/5/14,24,38,65,11,84
2023/5/21,24,39,49,12,87
2023/5/28,20,38,53,17,73
2023/6/4,18,42,54,10,69
2023/6/11,21,54,49,11,56
2023/6/18,30,40,47,7,56
2023/6/25,17,38,41,8,51
2023/7/2,21,50,55,11,52
2023/7/9,26,47,47,9,55
2023/7/16,29,40,47,0,49
2023/7/23,26,43,42,8,51
2023/7/30,26,54,49,8,51
2023/8/6,27,41,47,5,53
2023/8/13,38,46,47,0,56
2023/8/20,42,50,45,5,45
2023/8/27,36,42,47,0,48
2023/9/3,25,49,54,0,66
2023/9/10,34,40,47,5,65
2023/9/17,33,43,43,0,73
2023/9/24,23,40,49,0,76
2023/10/1,31,39,41,0,61
2023/10/8,13,45,45,0,77
2023/10/15,13,42,45,5,58
2023/10/22,14,42,28,0,58
2023/10/29,14,39,30,0,55
2023/11/5,22,39,32,0,43
2023/11/12,12,68,37,7,39
2023/11/19,14,66,40,0,43
2023/11/26,11,53,39,0,41
2023/12/3,9,47,36,0,45
2023/12/10,8,56,29,0,40
2023/12/17,8,38,41,0,38
2023/12/24,16,66,40,0,40
2023/12/31,14,56,38,0,29
